id,organism,control,time,abundance,logscale,treatment
Slagter2016a,H,FALSE,36.0458,1.42E+05,FALSE,"Fe limited host, Fe limited vius"
Slagter2016a,H,FALSE,40.047,1.37E+05,FALSE,"Fe limited host, Fe limited vius"
Slagter2016a,H,FALSE,44.0479,1.10E+05,FALSE,"Fe limited host, Fe limited vius"
Slagter2016a,H,FALSE,48.1125,69230.7692,FALSE,"Fe limited host, Fe limited vius"
Slagter2016a,V,FALSE,0.0692,1.83E+07,FALSE,"Fe limited host, Fe limited vius"
Slagter2016a,V,FALSE,4.0698,1.06E+07,FALSE,"Fe limited host, Fe limited vius"
Slagter2016a,V,FALSE,8.058,1.83E+07,FALSE,"Fe limited host, Fe limited vius"
Slagter2016a,V,FALSE,12.0291,4.75E+07,FALSE,"Fe limited host, Fe limited vius"
Slagter2016a,V,FALSE,16.0496,1.06E+08,FALSE,"Fe limited host, Fe limited vius"
Slagter2016a,V,FALSE,20.0624,1.43E+08,FALSE,"Fe limited host, Fe limited vius"
Slagter2016a,V,FALSE,24.1068,1.66E+08,FALSE,"Fe limited host, Fe limited vius"
Slagter2016a,V,FALSE,28.0869,1.88E+08,FALSE,"Fe limited host, Fe limited vius"
Slagter2016a,V,FALSE,32.195,1.97E+08,FALSE,"Fe limited host, Fe limited vius"
Slagter2016a,V,FALSE,40.2177,1.83E+08,FALSE,"Fe limited host, Fe limited vius"
Slagter2016a,V,FALSE,44.1969,1.77E+08,FALSE,"Fe limited host, Fe limited vius"
Slagter2016a,V,FALSE,48.2741,2.20E+08,FALSE,"Fe limited host, Fe limited vius"
Maat2016a,H,TRUE,0,2.86E+05,FALSE,N limited
Maat2016a,H,TRUE,5.9861,3.07E+05,FALSE,N limited
Maat2016a,H,TRUE,12.0257,2.78E+05,FALSE,N limited
Maat2016a,H,TRUE,18.0652,2.86E+05,FALSE,N limited
Maat2016a,H,TRUE,24.1048,3.22E+05,FALSE,N limited
Maat2016a,H,TRUE,30.1443,3.35E+05,FALSE,N limited
Maat2016a,H,TRUE,36.1839,3.27E+05,FALSE,N limited
Maat2016a,H,TRUE,48.2095,3.07E+05,FALSE,N limited
Maat2016a,H,TRUE,72.3143,3.02E+05,FALSE,N limited
Maat2016a,H,TRUE,96.3656,2.93E+05,FALSE,N limited
Maat2016a,H,FALSE,0,2.93E+05,FALSE,N limited
Maat2016a,H,FALSE,5.972,3.09E+05,FALSE,N limited
Maat2016a,H,FALSE,12.0049,2.71E+05,FALSE,N limited
Maat2016a,H,FALSE,18.0073,2.64E+05,FALSE,N limited
Maat2016a,H,FALSE,24.0402,2.61E+05,FALSE,N limited
Maat2016a,H,FALSE,30.0427,2.38E+05,FALSE,N limited
Maat2016a,H,FALSE,36.0451,2.10E+05,FALSE,N limited
Maat2016a,H,FALSE,48.0195,1.37E+05,FALSE,N limited
Maat2016a,H,FALSE,72.0597,25337.8378,FALSE,N limited
Maat2016a,H,FALSE,96.0085,9712.8378,FALSE,N limited
Maat2016a,V,FALSE,0.061,3.39E+06,FALSE,N limited
Maat2016a,V,FALSE,3.0183,3.07E+06,FALSE,N limited
Maat2016a,V,FALSE,6.0671,2.53E+06,FALSE,N limited
Maat2016a,V,FALSE,8.9634,2.64E+06,FALSE,N limited
Maat2016a,V,FALSE,12.0427,2.63E+06,FALSE,N limited
Maat2016a,V,FALSE,15.061,3.37E+06,FALSE,N limited
Maat2016a,V,FALSE,18.0488,5.17E+06,FALSE,N limited
Maat2016a,V,FALSE,24.0244,9.29E+06,FALSE,N limited
Maat2016a,V,FALSE,30.0305,1.17E+07,FALSE,N limited
Maat2016a,V,FALSE,36.0671,1.55E+07,FALSE,N limited
Maat2016a,V,FALSE,48.0793,1.78E+07,FALSE,N limited
Maat2016a,V,FALSE,72.0427,2.14E+07,FALSE,N limited
Maat2016a,V,FALSE,95.9756,1.94E+07,FALSE,N limited
Maat2016a,H,TRUE,0.0534,2.72E+05,FALSE,P limited
Maat2016a,H,TRUE,5.9861,3.11E+05,FALSE,P limited
Maat2016a,H,TRUE,12.0257,2.70E+05,FALSE,P limited
Maat2016a,H,TRUE,18.0652,2.81E+05,FALSE,P limited
Maat2016a,H,TRUE,24.1048,3.31E+05,FALSE,P limited
Maat2016a,H,TRUE,30.1443,3.30E+05,FALSE,P limited
Maat2016a,H,TRUE,36.1839,3.22E+05,FALSE,P limited
Maat2016a,H,TRUE,48.2095,3.12E+05,FALSE,P limited
Maat2016a,H,TRUE,72.3143,3.47E+05,FALSE,P limited
Maat2016a,H,TRUE,96.419,4.36E+05,FALSE,P limited
Maat2016a,H,FALSE,0.0534,2.82E+05,FALSE,P limited
Maat2016a,H,FALSE,5.9861,3.22E+05,FALSE,P limited
Maat2016a,H,FALSE,12.0257,2.67E+05,FALSE,P limited
Maat2016a,H,FALSE,18.0652,2.03E+05,FALSE,P limited
Maat2016a,H,FALSE,24.1048,1.93E+05,FALSE,P limited
Maat2016a,H,FALSE,30.1443,1.34E+05,FALSE,P limited
Maat2016a,H,FALSE,36.077,72803.3255,FALSE,P limited
Maat2016a,H,FALSE,48.2095,16056.2465,FALSE,P limited
Maat2016a,H,FALSE,72.3143,1256.6819,FALSE,P limited
Maat2016a,H,FALSE,96.419,448.2808,FALSE,P limited
Maat2016a,V,FALSE,0.061,6.35E+06,FALSE,P limited
